timestamp(s),c_head_temp(K),film_burner_temp(K),mainplate_temp(K),he_pump_temp(K),heat_sw_temp(K) 
8213.478540182114,+8.551909E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538100E+01
8219.288772821426,+8.551806E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8225.07900428772,+8.551737E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8230.879236221313,+8.551727E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8236.679468154907,+8.551505E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8242.47970032692,+8.551539E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8248.279932260513,+8.551688E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8254.080164194107,+8.551853E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8259.8803961277,+8.551925E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538100E+01
8265.680628299713,+8.551864E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538100E+01
8271.480860233307,+8.551685E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8277.2810921669,+8.551730E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8283.081324100494,+8.551765E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8288.881556510925,+8.551834E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8294.681788444519,+8.551735E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8300.482020378113,+8.551656E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8306.282252311707,+8.551533E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538100E+01
8312.312493562698,+8.551476E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8318.282732248306,+8.551958E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538100E+01
8324.082964420319,+8.551899E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8329.883196353912,+8.551962E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8335.683428287506,+8.551739E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8341.4836602211,+8.551892E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8347.283892393112,+8.551813E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8353.084124326706,+8.551778E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8358.8843562603,+8.551778E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8364.684588193893,+8.551993E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8370.484820365906,+8.551704E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8376.2850522995,+8.551700E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8382.085284233093,+8.551913E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538100E+01
8387.885516166687,+8.552001E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8393.6857483387,+8.551878E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8399.485980272293,+8.551750E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8405.286212205887,+8.551820E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8411.08644413948,+8.551671E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8416.886676311493,+8.551548E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8422.686908245087,+8.551858E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8428.48714017868,+8.551933E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8434.287372112274,+8.551742E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8440.087604284286,+8.551797E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8445.88783621788,+8.551366E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8451.698068618774,+8.551585E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8457.52830195427,+8.551736E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8463.488540410995,+8.551874E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8469.28877234459,+8.551672E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8475.089004278183,+8.551679E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8480.919237613678,+8.551646E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8486.889476299286,+8.551341E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8492.68970823288,+8.551573E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8498.489940404892,+8.551743E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8504.290172338486,+8.551731E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8510.09040427208,+8.551661E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8515.890636205673,+8.551585E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8521.690868377686,+8.551685E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8527.49110031128,+8.551764E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8533.291332244873,+8.551710E-01,1.165000E+00,7.306000E+00,3.963000E+00,2.538200E+01
8539.091564178467,+8.551790E-01,1.165000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8544.89179635048,+8.551884E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538300E+01
8550.692028284073,+8.552097E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538300E+01
8556.492260217667,+8.552086E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
8562.29249215126,+8.552046E-01,1.166000E+00,7.306000E+00,3.963000E+00,2.538400E+01
8568.092724323273,+8.551672E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538200E+01
